relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
1,1,7,1,4.0,170,50.0,1.0,4.0,12,0.0,16.0,7
2,1,0,0,2.0,143,58.0,1.0,3.0,2,0.0,58.0,2
2,0,2,0,0.0,173,44.0,0.0,1.0,67,0.0,44.0,1
2,0,0,0,0.0,147,57.0,1.0,3.0,0,4.0,57.0,1
0,1,6,5,0.0,210,9.0,0.0,1.0,30,0.0,9.0,3
0,1,3,2,1.0,120,18.0,1.0,4.0,5,4.0,18.0,3
1,1,11,1,0.0,162,56.0,0.0,1.0,78,0.0,56.0,7
2,0,0,0,0.0,170,43.0,1.0,3.0,8,4.0,43.0,1
2,0,1,0,0.0,80,51.0,1.0,3.0,2,2.0,51.0,9
1,1,12,1,0.0,0,26.0,0.0,0.0,160,0.0,26.0,7
0,0,8,7,0.0,0,65.0,0.0,0.0,70,0.0,65.0,5
1,1,4,1,0.0,0,69.0,0.0,0.0,103,0.0,69.0,7
2,0,0,0,2.0,83,10.0,3.0,2.0,52,2.0,10.0,1
1,0,9,2,0.0,0,19.0,0.0,0.0,110,0.0,19.0,0
0,0,11,4,0.0,145,6.0,1.0,3.0,2,4.0,6.0,8
1,1,6,5,1.0,180,59.0,1.0,5.0,10,0.0,59.0,7
4,1,6,4,1.0,93,3.0,2.0,2.0,100,1.0,3.0,3
0,1,3,5,4.0,133,45.0,2.0,2.0,87,4.0,45.0,3
0,0,5,8,0.0,0,51.0,0.0,0.0,80,0.0,51.0,8
